,level_0,index,Unnamed: 0,Unnamed: 0.1,Buy/Sell,Transaction Date,Acceptance Date Time,Issuer Name,Issuer Trading Symbol,Reporting Owner Name,Reporting Owner Relationship,Transcation Share,Price Per share,Total Value,Shares Owned Following Transaction,Form,sector,market_cap,new_trans_date,Adj Close,Adj Close day1,Adj Close day2,Adj Close day3,Adj Close day4,Adj Close day5,Adj Close month,Adj Close 6month,Adj Close year
11,1716,1716,1716,1716,Sell,2017-01-03,2017-01-04 18:51:35,Alphabet Inc.,GOOG,Brin Sergey, director officer 10% owner,540,$788.4750,"$425,777.0000","19,483,400",Form 4,Technology,829579830074.72,"time.struct_time(tm_year=2017, tm_mon=1, tm_mday=3, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=3, tm_isdst=-1)",786.1400146484375,786.9000244140625,794.02001953125,806.1500244140625,806.6500244140625,804.7899780273438,818.97998046875,931.5800170898438,1152.260009765625
12,1717,1717,1717,1717,Sell,2017-01-03,2017-01-04 18:51:35,Alphabet Inc.,GOOG,Brin Sergey, director officer 10% owner,100,$797.3000,"$79,730.0000","16,570",Form 4,Technology,829579830074.72,"time.struct_time(tm_year=2017, tm_mon=1, tm_mday=3, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=3, tm_isdst=-1)",786.1400146484375,786.9000244140625,794.02001953125,806.1500244140625,806.6500244140625,804.7899780273438,818.97998046875,931.5800170898438,1152.260009765625
13,1718,1718,1718,1718,Sell,2017-01-03,2017-01-04 18:51:35,Alphabet Inc.,GOOG,Brin Sergey, director officer 10% owner,760,$809.3150,"$615,080.0000",380,Form 4,Technology,829579830074.72,"time.struct_time(tm_year=2017, tm_mon=1, tm_mday=3, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=3, tm_isdst=-1)",786.1400146484375,786.9000244140625,794.02001953125,806.1500244140625,806.6500244140625,804.7899780273438,818.97998046875,931.5800170898438,1152.260009765625
14,1719,1719,1719,1719,Sell,2017-01-03,2017-01-04 18:51:35,Alphabet Inc.,GOOG,Brin Sergey, director officer 10% owner,300,$776.7300,"$233,019.0000","19,509,700",Form 4,Technology,829579830074.72,"time.struct_time(tm_year=2017, tm_mon=1, tm_mday=3, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=3, tm_isdst=-1)",786.1400146484375,786.9000244140625,794.02001953125,806.1500244140625,806.6500244140625,804.7899780273438,818.97998046875,931.5800170898438,1152.260009765625
15,1720,1720,1720,1720,Sell,2017-01-03,2017-01-04 18:51:35,Alphabet Inc.,GOOG,Brin Sergey, director officer 10% owner,380,$810.4210,"$307,960.0000",0,Form 4,Technology,829579830074.72,"time.struct_time(tm_year=2017, tm_mon=1, tm_mday=3, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=3, tm_isdst=-1)",786.1400146484375,786.9000244140625,794.02001953125,806.1500244140625,806.6500244140625,804.7899780273438,818.97998046875,931.5800170898438,1152.260009765625
16,1721,1721,1721,1721,Sell,2017-01-03,2017-01-04 18:51:35,Alphabet Inc.,GOOG,Brin Sergey, director officer 10% owner,"2,006",$808.3480,"$1,621,550.0000","1,140",Form 4,Technology,829579830074.72,"time.struct_time(tm_year=2017, tm_mon=1, tm_mday=3, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=3, tm_isdst=-1)",786.1400146484375,786.9000244140625,794.02001953125,806.1500244140625,806.6500244140625,804.7899780273438,818.97998046875,931.5800170898438,1152.260009765625
17,1722,1722,1722,1722,Sell,2017-01-03,2017-01-04 18:51:35,Alphabet Inc.,GOOG,Brin Sergey, director officer 10% owner,803,$803.1600,"$644,937.0000","15,146",Form 4,Technology,829579830074.72,"time.struct_time(tm_year=2017, tm_mon=1, tm_mday=3, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=3, tm_isdst=-1)",786.1400146484375,786.9000244140625,794.02001953125,806.1500244140625,806.6500244140625,804.7899780273438,818.97998046875,931.5800170898438,1152.260009765625
18,1723,1723,1723,1723,Sell,2017-01-03,2017-01-04 18:51:35,Alphabet Inc.,GOOG,Brin Sergey, director officer 10% owner,610,$787.5320,"$480,395.0000","19,493,900",Form 4,Technology,829579830074.72,"time.struct_time(tm_year=2017, tm_mon=1, tm_mday=3, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=3, tm_isdst=-1)",786.1400146484375,786.9000244140625,794.02001953125,806.1500244140625,806.6500244140625,804.7899780273438,818.97998046875,931.5800170898438,1152.260009765625
19,1724,1724,1724,1724,Sell,2017-01-03,2017-01-04 18:51:35,Alphabet Inc.,GOOG,Brin Sergey, director officer 10% owner,"1,800",$782.1810,"$1,407,930.0000","19,506,300",Form 4,Technology,829579830074.72,"time.struct_time(tm_year=2017, tm_mon=1, tm_mday=3, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=3, tm_isdst=-1)",786.1400146484375,786.9000244140625,794.02001953125,806.1500244140625,806.6500244140625,804.7899780273438,818.97998046875,931.5800170898438,1152.260009765625
20,1725,1725,1725,1725,Sell,2017-01-03,2017-01-04 18:51:35,Alphabet Inc.,GOOG,Brin Sergey, director officer 10% owner,"3,065",$783.3690,"$2,401,020.0000","19,503,300",Form 4,Technology,829579830074.72,"time.struct_time(tm_year=2017, tm_mon=1, tm_mday=3, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=3, tm_isdst=-1)",786.1400146484375,786.9000244140625,794.02001953125,806.1500244140625,806.6500244140625,804.7899780273438,818.97998046875,931.5800170898438,1152.260009765625
21,2466,2466,2466,2466,Sell,2017-01-03,2017-01-03 17:27:57,Alphabet Inc.,GOOG,Campbell James Grier,,194,$778.8100,"$151,089.0000",0,Form 4,Technology,829579830074.72,"time.struct_time(tm_year=2017, tm_mon=1, tm_mday=3, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=3, tm_isdst=-1)",786.1400146484375,786.9000244140625,794.02001953125,806.1500244140625,806.6500244140625,804.7899780273438,818.97998046875,931.5800170898438,1152.260009765625
22,3055,3055,3055,3055,Sell,2016-12-28,2016-12-30 11:49:15,Alphabet Inc.,GOOG,Brin Sergey, director officer 10% owner,900,$807.4960,"$726,746.0000","1,000",Form 4,Technology,829579830074.72,"time.struct_time(tm_year=2016, tm_mon=12, tm_mday=28, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=363, tm_isdst=-1)",785.0499877929688,782.7899780273438,771.8200073242188,786.1400146484375,786.9000244140625,794.02001953125,813.6699829101562,920.2899780273438,1139.3199462890625
23,3056,3056,3056,3056,Sell,2016-12-28,2016-12-30 11:49:15,Alphabet Inc.,GOOG,Brin Sergey, director officer 10% owner,"1,624",$806.3070,"$1,309,440.0000","1,900",Form 4,Technology,829579830074.72,"time.struct_time(tm_year=2016, tm_mon=12, tm_mday=28, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=363, tm_isdst=-1)",785.0499877929688,782.7899780273438,771.8200073242188,786.1400146484375,786.9000244140625,794.02001953125,813.6699829101562,920.2899780273438,1139.3199462890625
24,3057,3057,3057,3057,Sell,2016-12-28,2016-12-30 11:49:15,Alphabet Inc.,GOOG,Brin Sergey, director officer 10% owner,394,$792.9400,"$312,418.0000","19,543,400",Form 4,Technology,829579830074.72,"time.struct_time(tm_year=2016, tm_mon=12, tm_mday=28, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=363, tm_isdst=-1)",785.0499877929688,782.7899780273438,771.8200073242188,786.1400146484375,786.9000244140625,794.02001953125,813.6699829101562,920.2899780273438,1139.3199462890625
25,3058,3058,3058,3058,Sell,2016-12-28,2016-12-30 11:49:15,Alphabet Inc.,GOOG,Brin Sergey, director officer 10% owner,800,$789.1090,"$631,287.0000","19,544,400",Form 4,Technology,829579830074.72,"time.struct_time(tm_year=2016, tm_mon=12, tm_mday=28, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=363, tm_isdst=-1)",785.0499877929688,782.7899780273438,771.8200073242188,786.1400146484375,786.9000244140625,794.02001953125,813.6699829101562,920.2899780273438,1139.3199462890625
26,3059,3059,3059,3059,Sell,2016-12-29,2016-12-30 11:49:15,Alphabet Inc.,GOOG,Brin Sergey, director officer 10% owner,560,$785.2960,"$439,766.0000","19,526,700",Form 4,Technology,829579830074.72,"time.struct_time(tm_year=2016, tm_mon=12, tm_mday=29, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=3, tm_yday=364, tm_isdst=-1)",782.7899780273438,771.8200073242188,786.1400146484375,786.9000244140625,794.02001953125,806.1500244140625,819.239990234375,915.0,1134.7900390625
27,3060,3060,3060,3060,Sell,2016-12-28,2016-12-30 11:49:15,Alphabet Inc.,GOOG,Brin Sergey, director officer 10% owner,"3,658",$805.3950,"$2,946,140.0000","3,524",Form 4,Technology,829579830074.72,"time.struct_time(tm_year=2016, tm_mon=12, tm_mday=28, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=363, tm_isdst=-1)",785.0499877929688,782.7899780273438,771.8200073242188,786.1400146484375,786.9000244140625,794.02001953125,813.6699829101562,920.2899780273438,1139.3199462890625
28,3061,3061,3061,3061,Sell,2016-12-28,2016-12-30 11:49:15,Alphabet Inc.,GOOG,Brin Sergey, director officer 10% owner,550,$811.5860,"$446,372.0000",0,Form 4,Technology,829579830074.72,"time.struct_time(tm_year=2016, tm_mon=12, tm_mday=28, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=363, tm_isdst=-1)",785.0499877929688,782.7899780273438,771.8200073242188,786.1400146484375,786.9000244140625,794.02001953125,813.6699829101562,920.2899780273438,1139.3199462890625
