,level_0,index,Unnamed: 0,Unnamed: 0.1,Buy/Sell,Transaction Date,Acceptance Date Time,Issuer Name,Issuer Trading Symbol,Reporting Owner Name,Reporting Owner Relationship,Transcation Share,Price Per share,Total Value,Shares Owned Following Transaction,Form,sector,market_cap,new_trans_date,Adj Close,Adj Close day1,Adj Close day2,Adj Close day3,Adj Close day4,Adj Close day5,Adj Close month,Adj Close 6month,Adj Close year
85,28652,28652,28652,28652,Sell,2016-10-18,2016-10-20 10:00:50,SYNNEX CORP,SNX,MIAU MATTHEW, director,"7,300",$105.0100,"$766,573.0000","5,523,900",Form 4,Technology,4874578787.24,"time.struct_time(tm_year=2016, tm_mon=10, tm_mday=18, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=292, tm_isdst=-1)",101.93473815917969,101.9444808959961,102.02235412597656,101.91527557373047,102.24626159667969,101.28250122070312,113.81139373779297,118.02738189697266,96.46014404296875
86,28667,28667,28667,28667,Sell,2016-10-18,2016-10-19 21:17:22,SYNNEX CORP,SNX,MiTAC International CORP, 10% owner,"3,000",$105.0800,"$315,240.0000","5,524,100",Form 4,Technology,4874578787.24,"time.struct_time(tm_year=2016, tm_mon=10, tm_mday=18, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=292, tm_isdst=-1)",101.93473815917969,101.9444808959961,102.02235412597656,101.91527557373047,102.24626159667969,101.28250122070312,113.81139373779297,118.02738189697266,96.46014404296875
87,28668,28668,28668,28668,Sell,2016-10-18,2016-10-19 21:17:22,SYNNEX CORP,SNX,MiTAC International CORP, 10% owner,"7,300",$105.0100,"$766,573.0000","5,527,100",Form 4,Technology,4874578787.24,"time.struct_time(tm_year=2016, tm_mon=10, tm_mday=18, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=292, tm_isdst=-1)",101.93473815917969,101.9444808959961,102.02235412597656,101.91527557373047,102.24626159667969,101.28250122070312,113.81139373779297,118.02738189697266,96.46014404296875
88,28669,28669,28669,28669,Sell,2016-10-17,2016-10-19 21:14:16,SYNNEX CORP,SNX,SILVER STAR DEVEOPMENTS LTD, 10% owner,"3,300",$105.2100,"$347,193.0000","5,541,360",Form 4,Technology,4874578787.24,"time.struct_time(tm_year=2016, tm_mon=10, tm_mday=17, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=291, tm_isdst=-1)",101.46746063232422,101.93473815917969,101.9444808959961,102.02235412597656,101.91527557373047,102.24626159667969,114.21052551269531,115.20137786865234,95.31790924072266
89,28670,28670,28670,28670,Sell,2016-10-17,2016-10-19 21:14:16,SYNNEX CORP,SNX,MiTAC International CORP, 10% owner,863,$105.2400,"$90,822.1000","5,540,500",Form 4,Technology,4874578787.24,"time.struct_time(tm_year=2016, tm_mon=10, tm_mday=17, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=291, tm_isdst=-1)",101.46746063232422,101.93473815917969,101.9444808959961,102.02235412597656,101.91527557373047,102.24626159667969,114.21052551269531,115.20137786865234,95.31790924072266
90,28671,28671,28671,28671,Sell,2016-10-18,2016-10-19 21:07:55,SYNNEX CORP,SNX,Synnex Technology International CORP, other,60,$105.1100,"$6,306.6000","4,260,990",Form 4,Technology,4874578787.24,"time.struct_time(tm_year=2016, tm_mon=10, tm_mday=18, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=292, tm_isdst=-1)",101.93473815917969,101.9444808959961,102.02235412597656,101.91527557373047,102.24626159667969,101.28250122070312,113.81139373779297,118.02738189697266,96.46014404296875
91,28676,28676,28676,28676,Sell,2016-10-17,2016-10-19 21:00:11,SYNNEX CORP,SNX,Synnex Technology International CORP, other,"3,000",$105.5100,"$316,530.0000","4,271,950",Form 4,Technology,4874578787.24,"time.struct_time(tm_year=2016, tm_mon=10, tm_mday=17, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=291, tm_isdst=-1)",101.46746063232422,101.93473815917969,101.9444808959961,102.02235412597656,101.91527557373047,102.24626159667969,114.21052551269531,115.20137786865234,95.31790924072266
92,28677,28677,28677,28677,Sell,2016-10-17,2016-10-19 21:00:11,SYNNEX CORP,SNX,Synnex Technology International CORP, other,500,$105.0100,"$52,505.0000","4,278,050",Form 4,Technology,4874578787.24,"time.struct_time(tm_year=2016, tm_mon=10, tm_mday=17, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=291, tm_isdst=-1)",101.46746063232422,101.93473815917969,101.9444808959961,102.02235412597656,101.91527557373047,102.24626159667969,114.21052551269531,115.20137786865234,95.31790924072266
93,28802,28802,28802,28802,Sell,2016-10-17,2016-10-19 13:55:03,SYNNEX CORP,SNX,MIAU MATTHEW, director,"2,100",$105.0100,"$220,521.0000","5,535,260",Form 4,Technology,4874578787.24,"time.struct_time(tm_year=2016, tm_mon=10, tm_mday=17, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=291, tm_isdst=-1)",101.46746063232422,101.93473815917969,101.9444808959961,102.02235412597656,101.91527557373047,102.24626159667969,114.21052551269531,115.20137786865234,95.31790924072266
94,28803,28803,28803,28803,Sell,2016-10-17,2016-10-19 13:55:03,SYNNEX CORP,SNX,MIAU MATTHEW, director,"6,100",$105.5100,"$643,611.0000","5,540,660",Form 4,Technology,4874578787.24,"time.struct_time(tm_year=2016, tm_mon=10, tm_mday=17, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=291, tm_isdst=-1)",101.46746063232422,101.93473815917969,101.9444808959961,102.02235412597656,101.91527557373047,102.24626159667969,114.21052551269531,115.20137786865234,95.31790924072266
95,28804,28804,28804,28804,Sell,2016-10-17,2016-10-19 13:55:03,SYNNEX CORP,SNX,MIAU MATTHEW, director,"3,100",$105.3500,"$326,585.0000","4,272,450",Form 4,Technology,4874578787.24,"time.struct_time(tm_year=2016, tm_mon=10, tm_mday=17, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=291, tm_isdst=-1)",101.46746063232422,101.93473815917969,101.9444808959961,102.02235412597656,101.91527557373047,102.24626159667969,114.21052551269531,115.20137786865234,95.31790924072266
96,28951,28951,28951,28951,Sell,2016-10-17,2016-10-19 13:55:03,SYNNEX CORP,SNX,MIAU MATTHEW, director,500,$105.0100,"$52,505.0000","4,271,950",Form 4,Technology,4874578787.24,"time.struct_time(tm_year=2016, tm_mon=10, tm_mday=17, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=291, tm_isdst=-1)",101.46746063232422,101.93473815917969,101.9444808959961,102.02235412597656,101.91527557373047,102.24626159667969,114.21052551269531,115.20137786865234,95.31790924072266
97,28952,28952,28952,28952,Sell,2016-10-17,2016-10-19 13:55:03,SYNNEX CORP,SNX,MIAU MATTHEW, director,"3,000",$105.5100,"$316,530.0000","4,275,550",Form 4,Technology,4874578787.24,"time.struct_time(tm_year=2016, tm_mon=10, tm_mday=17, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=291, tm_isdst=-1)",101.46746063232422,101.93473815917969,101.9444808959961,102.02235412597656,101.91527557373047,102.24626159667969,114.21052551269531,115.20137786865234,95.31790924072266
98,28953,28953,28953,28953,Sell,2016-10-17,2016-10-19 13:55:03,SYNNEX CORP,SNX,MIAU MATTHEW, director,863,$105.2400,"$90,822.1000","5,534,400",Form 4,Technology,4874578787.24,"time.struct_time(tm_year=2016, tm_mon=10, tm_mday=17, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=291, tm_isdst=-1)",101.46746063232422,101.93473815917969,101.9444808959961,102.02235412597656,101.91527557373047,102.24626159667969,114.21052551269531,115.20137786865234,95.31790924072266
99,28954,28954,28954,28954,Sell,2016-10-17,2016-10-19 13:55:03,SYNNEX CORP,SNX,MIAU MATTHEW, director,"3,300",$105.2100,"$347,193.0000","5,537,360",Form 4,Technology,4874578787.24,"time.struct_time(tm_year=2016, tm_mon=10, tm_mday=17, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=291, tm_isdst=-1)",101.46746063232422,101.93473815917969,101.9444808959961,102.02235412597656,101.91527557373047,102.24626159667969,114.21052551269531,115.20137786865234,95.31790924072266
100,29188,29188,29188,29188,Sell,2016-10-14,2016-10-17 21:37:59,SYNNEX CORP,SNX,Synnex Technology International CORP, other,"2,000",$106.8100,"$213,620.0000","4,280,050",Form 4,Technology,4874578787.24,"time.struct_time(tm_year=2016, tm_mon=10, tm_mday=14, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=4, tm_yday=288, tm_isdst=-1)",102.07102966308594,101.46746063232422,101.93473815917969,101.9444808959961,102.02235412597656,101.91527557373047,114.93090057373047,116.71705627441406,116.5871810913086
101,29189,29189,29189,29189,Sell,2016-10-14,2016-10-17 21:37:59,SYNNEX CORP,SNX,Synnex Technology International CORP, other,847,$105.5100,"$89,367.0000","4,282,050",Form 4,Technology,4874578787.24,"time.struct_time(tm_year=2016, tm_mon=10, tm_mday=14, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=4, tm_yday=288, tm_isdst=-1)",102.07102966308594,101.46746063232422,101.93473815917969,101.9444808959961,102.02235412597656,101.91527557373047,114.93090057373047,116.71705627441406,116.5871810913086
102,29190,29190,29190,29190,Sell,2016-10-14,2016-10-17 21:26:48,SYNNEX CORP,SNX,SILVER STAR DEVEOPMENTS LTD, 10% owner,500,$106.9200,"$53,460.0000","5,546,760",Form 4,Technology,4874578787.24,"time.struct_time(tm_year=2016, tm_mon=10, tm_mday=14, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=4, tm_yday=288, tm_isdst=-1)",102.07102966308594,101.46746063232422,101.93473815917969,101.9444808959961,102.02235412597656,101.91527557373047,114.93090057373047,116.71705627441406,116.5871810913086
103,29191,29191,29191,29191,Sell,2016-10-14,2016-10-17 21:26:48,SYNNEX CORP,SNX,MiTAC International CORP, 10% owner,"1,400",$105.5100,"$147,714.0000","5,550,360",Form 4,Technology,4874578787.24,"time.struct_time(tm_year=2016, tm_mon=10, tm_mday=14, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=4, tm_yday=288, tm_isdst=-1)",102.07102966308594,101.46746063232422,101.93473815917969,101.9444808959961,102.02235412597656,101.91527557373047,114.93090057373047,116.71705627441406,116.5871810913086
