,level_0,index,Unnamed: 0,Unnamed: 0.1,Buy/Sell,Transaction Date,Acceptance Date Time,Issuer Name,Issuer Trading Symbol,Reporting Owner Name,Reporting Owner Relationship,Transcation Share,Price Per share,Total Value,Shares Owned Following Transaction,Form,sector,market_cap,new_trans_date,Adj Close,Adj Close day1,Adj Close day2,Adj Close day3,Adj Close day4,Adj Close day5,Adj Close month,Adj Close 6month,Adj Close year
112,24178,24178,24178,24178,Sell,2016-11-04,2016-11-04 19:52:46,SALESFORCE COM INC,CRM,Benioff Marc, director officer 10% owner,"12,500",$74.7387,"$934,234.0000","34,770,500",Form 4,Technology,123213510000.0,"time.struct_time(tm_year=2016, tm_mon=11, tm_mday=4, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=4, tm_yday=309, tm_isdst=-1)",74.37000274658203,76.30000305175781,76.55000305175781,75.9000015258789,73.62999725341797,74.58999633789062,69.51000213623047,91.06999969482422,122.81999969482422
113,24417,24417,24417,24417,Sell,2016-11-03,2016-11-03 18:47:42,SALESFORCE COM INC,CRM,Benioff Marc, director officer 10% owner,"11,200",$74.1796,"$830,812.0000","34,784,300",Form 4,Technology,123213510000.0,"time.struct_time(tm_year=2016, tm_mon=11, tm_mday=3, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=3, tm_yday=308, tm_isdst=-1)",74.13999938964844,74.37000274658203,76.30000305175781,76.55000305175781,75.9000015258789,73.62999725341797,69.86000061035156,90.62999725341797,124.05999755859375
114,24566,24566,24566,24566,Sell,2016-11-03,2016-11-03 18:47:42,SALESFORCE COM INC,CRM,Benioff Marc, director officer 10% owner,"1,300",$75.0712,"$97,592.6000","34,783,000",Form 4,Technology,123213510000.0,"time.struct_time(tm_year=2016, tm_mon=11, tm_mday=3, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=3, tm_yday=308, tm_isdst=-1)",74.13999938964844,74.37000274658203,76.30000305175781,76.55000305175781,75.9000015258789,73.62999725341797,69.86000061035156,90.62999725341797,124.05999755859375
115,25108,25108,25108,25108,Sell,2016-11-02,2016-11-02 20:26:00,SALESFORCE COM INC,CRM,Benioff Marc, director officer 10% owner,"12,500",$75.1723,"$939,654.0000","34,795,500",Form 4,Technology,123213510000.0,"time.struct_time(tm_year=2016, tm_mon=11, tm_mday=2, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=307, tm_isdst=-1)",75.0,74.13999938964844,74.37000274658203,76.30000305175781,76.55000305175781,75.9000015258789,70.2300033569336,89.66999816894531,124.45999908447266
116,25564,25564,25564,25564,Sell,2016-10-31,2016-11-01 20:29:14,SALESFORCE COM INC,CRM,Benioff Marc, director officer 10% owner,"12,500",$75.2771,"$940,964.0000","34,820,500",Form 4,Technology,123213510000.0,"time.struct_time(tm_year=2016, tm_mon=10, tm_mday=31, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=305, tm_isdst=-1)",75.16000366210938,75.44999694824219,75.0,74.13999938964844,74.37000274658203,76.30000305175781,71.61000061035156,90.54000091552734,119.41000366210938
117,25565,25565,25565,25565,Sell,2016-11-01,2016-11-01 20:29:14,SALESFORCE COM INC,CRM,Benioff Marc, director officer 10% owner,"4,000",$76.6125,"$306,450.0000","34,808,000",Form 4,Technology,123213510000.0,"time.struct_time(tm_year=2016, tm_mon=11, tm_mday=1, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=306, tm_isdst=-1)",75.44999694824219,75.0,74.13999938964844,74.37000274658203,76.30000305175781,76.55000305175781,71.33000183105469,89.69000244140625,123.3499984741211
118,25714,25714,25714,25714,Sell,2016-11-01,2016-11-01 20:29:14,SALESFORCE COM INC,CRM,Benioff Marc, director officer 10% owner,"8,500",$75.6603,"$643,113.0000","34,812,000",Form 4,Technology,123213510000.0,"time.struct_time(tm_year=2016, tm_mon=11, tm_mday=1, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=306, tm_isdst=-1)",75.44999694824219,75.0,74.13999938964844,74.37000274658203,76.30000305175781,76.55000305175781,71.33000183105469,89.69000244140625,123.3499984741211
119,26605,26605,26605,26605,Sell,2016-10-28,2016-10-28 19:02:37,SALESFORCE COM INC,CRM,Benioff Marc, director officer 10% owner,"12,500",$75.2032,"$940,040.0000","34,833,000",Form 4,Technology,123213510000.0,"time.struct_time(tm_year=2016, tm_mon=10, tm_mday=28, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=4, tm_yday=302, tm_isdst=-1)",75.12999725341797,75.16000366210938,75.44999694824219,75.0,74.13999938964844,74.37000274658203,70.37999725341797,89.55999755859375,119.01000213623047
120,26722,26722,26722,26722,Sell,2016-10-27,2016-10-27 20:42:20,SALESFORCE COM INC,CRM,Benioff Marc, director officer 10% owner,"1,400",$75.8500,"$106,190.0000","34,845,500",Form 4,Technology,123213510000.0,"time.struct_time(tm_year=2016, tm_mon=10, tm_mday=27, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=3, tm_yday=301, tm_isdst=-1)",74.73999786376953,75.12999725341797,75.16000366210938,75.44999694824219,75.0,74.13999938964844,71.16999816894531,89.2699966430664,121.4000015258789
121,26830,26830,26830,26830,Sell,2016-10-26,2016-10-26 21:01:31,SALESFORCE COM INC,CRM,Benioff Marc, director officer 10% owner,"8,995",$75.0154,"$674,764.0000","34,861,500",Form 4,Technology,123213510000.0,"time.struct_time(tm_year=2016, tm_mon=10, tm_mday=26, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=300, tm_isdst=-1)",74.94999694824219,74.73999786376953,75.12999725341797,75.16000366210938,75.44999694824219,75.0,71.86000061035156,89.29000091552734,119.16000366210938
