"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"BLK","BlackRock, Inc.","431.84","68661946787.2","n/a","1999","Finance","Investment Bankers/Brokers/Service","https://www.nasdaq.com/symbol/blk",
"BCOR","Blucora, Inc.","27.93","1346319733.08","n/a","n/a","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/bcor",
"BCRH","Blue Capital Reinsurance Holdings Ltd.","6.4","56109856","n/a","2013","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/bcrh",
"BHBK","Blue Hills Bancorp, Inc.","23.9","643157723.5","n/a","2014","Finance","Major Banks","https://www.nasdaq.com/symbol/bhbk",
"BXG","Bluegreen Vacations Corporation","15.95","1187412471.85","n/a","2017","Finance","Real Estate","https://www.nasdaq.com/symbol/bxg",
"BOKF","BOK Financial Corporation","86.42","6243954407.72","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/bokf",
"BOKFL","BOK Financial Corporation","25.37","0","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/bokfl",
"BOMN","Boston Omaha Corporation","26","573653184","n/a","n/a","Finance","Real Estate","https://www.nasdaq.com/symbol/bomn",
"BPFH","Boston Private Financial Holdings, Inc.","11.57","969186874.24","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/bpfh",
"BWMC","Boxwood Merger Corp.","9.7","0","n/a","2019","Finance","Business Services","https://www.nasdaq.com/symbol/bwmc",
"BWMCU","Boxwood Merger Corp.","10.02","0","n/a","2018","Finance","Business Services","https://www.nasdaq.com/symbol/bwmcu",
"BWMCW","Boxwood Merger Corp.","0.3","0","n/a","2019","Finance","Business Services","https://www.nasdaq.com/symbol/bwmcw",
"BDGE","Bridge Bancorp, Inc.","31.69","627215895.46","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/bdge",
"BWB","Bridgewater Bancshares, Inc.","11.02","331671959.48","n/a","2018","Finance","Major Banks","https://www.nasdaq.com/symbol/bwb",
"BHF","Brighthouse Financial, Inc.","38.59","4502313475.89","n/a","n/a","Finance","Life Insurance","https://www.nasdaq.com/symbol/bhf",
"BHFAL","Brighthouse Financial, Inc.","24.6","0","n/a","n/a","Finance","Life Insurance","https://www.nasdaq.com/symbol/bhfal",
"BSA","BrightSphere Investment Group plc","22.92","0","n/a","2016","Finance","Investment Managers","https://www.nasdaq.com/symbol/bsa",
"BSIG","BrightSphere Investment Group plc","13.76","1266249180.48","n/a","2014","Finance","Investment Managers","https://www.nasdaq.com/symbol/bsig",
"BYFC","Broadway Financial Corporation","1.41","38660505.18","n/a","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/byfc",
"BPY","Brookfield Property Partners L.P.","19.92","8506218958.08","n/a","n/a","Finance","Real Estate","https://www.nasdaq.com/symbol/bpy",
"BRKL","Brookline Bancorp, Inc.","15.08","1202878985.88","n/a","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/brkl",
"BRO","Brown & Brown, Inc.","29.17","8158902439.44","n/a","n/a","Finance","Specialty Insurers","https://www.nasdaq.com/symbol/bro",
"BMTC","Bryn Mawr Bank Corporation","38.57","777692155.52","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/bmtc",
"BLMT","BSB Bancorp, Inc.","34.58","338068914.82","n/a","2011","Finance","Major Banks","https://www.nasdaq.com/symbol/blmt",
"BFST","Business First Bancshares, Inc.","24.69","326237093.01","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/bfst",
"BY","Byline Bancorp, Inc.","19.41","705440611.44","n/a","2017","Finance","Major Banks","https://www.nasdaq.com/symbol/by",
"CFFI","C&F Financial Corporation","52.38","182641779.18","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/cffi",
"GYB","CABCO Series 2004-101 Trust","21","0","n/a","n/a","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/gyb",
"PFH","CABCO Series 2004-101 Trust","8.18","0","n/a","n/a","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/pfh",
"CADE","Cadence Bancorporation","19.93","2590157587.57","n/a","2017","Finance","Major Banks","https://www.nasdaq.com/symbol/cade",
"CATC","Cambridge Bancorp","81","333295641","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/catc",
"CAC","Camden National Corporation","43.77","682458075.78","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/cac",
"CM","Canadian Imperial Bank of Commerce","84.22","37380823227.46","n/a","n/a","Finance","Commercial Banks","https://www.nasdaq.com/symbol/cm",
"CBNK","Capital Bancorp, Inc.","11.11","151901241.69","n/a","2018","Finance","Major Banks","https://www.nasdaq.com/symbol/cbnk",
"CCBG","Capital City Bank Group","23.77","399523378.91","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/ccbg",
"COF","Capital One Financial Corporation","83.74","39180327557.02","n/a","1994","Finance","Major Banks","https://www.nasdaq.com/symbol/cof",
