"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"HA","Hawaiian Holdings, Inc.","26.98","1306421647.9","n/a","n/a","Transportation","Air Freight/Delivery Services","https://www.nasdaq.com/symbol/ha",
"HTLD","Heartland Express, Inc.","20.52","1681292862","n/a","1986","Transportation","Trucking Freight/Courier Services","https://www.nasdaq.com/symbol/htld",
"HUBG","Hub Group, Inc.","43.91","1526931389.65","n/a","1996","Transportation","Oil Refining/Marketing","https://www.nasdaq.com/symbol/hubg",
"HUNT","Hunter Maritime Acquisition Corp.","10.23","194026016.25","n/a","2017","Transportation","Oil Refining/Marketing","https://www.nasdaq.com/symbol/hunt",
"HUNTU","Hunter Maritime Acquisition Corp.","10.2","0","n/a","2016","Transportation","Oil Refining/Marketing","https://www.nasdaq.com/symbol/huntu",
"HUNTW","Hunter Maritime Acquisition Corp.","0.09","0","n/a","2017","Transportation","Oil Refining/Marketing","https://www.nasdaq.com/symbol/huntw",
"JBHT","J.B. Hunt Transport Services, Inc.","105.42","11463243030.96","n/a","n/a","Transportation","Trucking Freight/Courier Services","https://www.nasdaq.com/symbol/jbht",
"JBLU","JetBlue Airways Corporation","16.83","5158953200.61","n/a","2002","Transportation","Air Freight/Delivery Services","https://www.nasdaq.com/symbol/jblu",
"KSU","Kansas City Southern","114.48","11555789216.4","n/a","n/a","Transportation","Railroads","https://www.nasdaq.com/symbol/ksu",
"KSU^","Kansas City Southern","27.35","0","n/a","n/a","Transportation","Railroads","https://www.nasdaq.com/symbol/ksu^",
"KNX","Knight Transportation, Inc.","34.46","5961886314.94","n/a","2017","Transportation","Trucking Freight/Courier Services","https://www.nasdaq.com/symbol/knx",
"LSTR","Landstar System, Inc.","110.4","4428901785.6","n/a","1993","Transportation","Trucking Freight/Courier Services","https://www.nasdaq.com/symbol/lstr",
"LTM","LATAM Airlines Group S.A.","12","7276892316","n/a","n/a","Transportation","Air Freight/Delivery Services","https://www.nasdaq.com/symbol/ltm",
"MRTN","Marten Transport, Ltd.","18.43","1003874949.16","n/a","1986","Transportation","Trucking Freight/Courier Services","https://www.nasdaq.com/symbol/mrtn",
"MESA","Mesa Air Group, Inc.","9.46","226121462.38","n/a","2018","Transportation","Air Freight/Delivery Services","https://www.nasdaq.com/symbol/mesa",
"NVGS","Navigator Holdings Ltd.","10.81","601644646.24","n/a","2013","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/nvgs",
"NNA","Navios Maritime Acquisition Corporation","6.75","89743032","n/a","n/a","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/nna",
"NMCI","Navios Maritime Containers L.P.","2.15","367671429.05","n/a","n/a","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/nmci",
"NM","Navios Maritime Holdings Inc.","2.48","3092716.24","n/a","n/a","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/nm",
"NMM","Navios Maritime Partners LP","0.9173","153730090.5172","n/a","2007","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/nmm",
"NAO","Nordic American Offshore Ltd.","2.8","173563.6","n/a","2014","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/nao",
"NSC","Norfolk Souther Corporation","179.79","48085793061.54","n/a","n/a","Transportation","Railroads","https://www.nasdaq.com/symbol/nsc",
"ODFL","Old Dominion Freight Line, Inc.","148.6","12058442565.4","n/a","1991","Transportation","Trucking Freight/Courier Services","https://www.nasdaq.com/symbol/odfl",
"OSG","Overseas Shipholding Group, Inc.","1.85","156944361.5","n/a","2015","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/osg",
"PTSI","P.A.M. Transportation Services, Inc.","50.99","304577037.3","n/a","1986","Transportation","Trucking Freight/Courier Services","https://www.nasdaq.com/symbol/ptsi",
"PANL","Pangaea Logistics Solutions Ltd.","3.39","149324553.99","n/a","2013","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/panl",
"PATI","Patriot Transportation Holding, Inc.","19.25","64072970.5","n/a","n/a","Transportation","Trucking Freight/Courier Services","https://www.nasdaq.com/symbol/pati",
"DCIX","Performance Shipping Inc.","0.9238","13361132.7978","n/a","n/a","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/dcix",
"PHII","PHI, Inc.","4.3","68025002.4","n/a","n/a","Transportation","Transportation Services","https://www.nasdaq.com/symbol/phii",
"PHIIK","PHI, Inc.","2.04","32272326.72","n/a","n/a","Transportation","Transportation Services","https://www.nasdaq.com/symbol/phiik",
"PXS","Pyxis Tankers Inc.","1.39","29020271.27","n/a","n/a","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/pxs",
"RLGT","Radiant Logistics, Inc.","6.18","305978894.64","n/a","n/a","Transportation","Oil Refining/Marketing","https://www.nasdaq.com/symbol/rlgt",
"RRTS","Roadrunner Transportation Systems, Inc","0.4946","464378456.2","n/a","2010","Transportation","Oil Refining/Marketing","https://www.nasdaq.com/symbol/rrts",
"RYAAY","Ryanair Holdings plc","74.61","7522611221.97","100825777","1997","Transportation","Air Freight/Delivery Services","https://www.nasdaq.com/symbol/ryaay",
"SB","Safe Bulkers, Inc","1.47","149300109","n/a","2008","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/sb",
"SAIA","Saia, Inc.","63.41","1638837917.82","n/a","n/a","Transportation","Trucking Freight/Courier Services","https://www.nasdaq.com/symbol/saia",
"SNDR","Schneider National, Inc.","22.2","3929945498.4","n/a","2017","Transportation","Trucking Freight/Courier Services","https://www.nasdaq.com/symbol/sndr",
"SALT","Scorpio Bulkers Inc.","4.16","296263793.28","n/a","2013","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/salt",
"SLTB","Scorpio Bulkers Inc.","25.238","0","n/a","2014","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/sltb",
"SBBC","Scorpio Tankers Inc.","25.06","0","n/a","2017","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/sbbc",
"SBNA","Scorpio Tankers Inc.","25","0","n/a","2014","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/sbna",
"STNG","Scorpio Tankers Inc.","17.83","919838217.48","n/a","2010","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/stng",
